Instrument,SpreadCost
SS-ASML,0
SS-ASS-GEN,0
SS-BAIDU,0
SS-BANK-CHINA,0
SS-BOC-HONG-KONG,0
SS-BUDWEISER-BREWING,0
SS-BYD-CO,0
SS-CHINA-CONSTR-BK,0
SS-CHINA-MERCH-BANK,0
SS-CHINA-MOBILE,0
SS-CHINA-UNICOM-HK,0
SS-CITIC-LTD,0
SS-CK-HUTCHISON,0
SS-CLP-HOLDINGS,0
SS-CNOOC,0
SS-DTE,0
SS-ENEL-SPA,0
SS-HDFC,0
SS-HEINK,0
SS-HIND-UNILV,0
SS-HK-CHINA-GAS,0
SS-HK-EXCH-CLEAR,0
SS-HOUS-DEV-FIN,0
SS-HSBC-HLDS,0
SS-IBERDROLA,0
SS-IND-COMM-BK-OF-CHINA,0
SS-IND-DIS-TEXT,0
SS-INFOSYS,0
SS-JD-COM,0
SS-KOTAK-BANK,0
SS-LOREAL,0
SS-MEITUAN-B,0
SS-NETEASE,0
SS-NONGFU,0
SS-OVERSEA-CH-BK,0
SS-PING-AN-INSURANCE,0
SS-POWER-ASSETS-HLDS,0
SS-RELIANCE,0
SS-ROCHE,0
SS-SING-TEL,0
SS-SUN-HUNG-KAI,0
SS-TATA,0
SS-TENCENT-HLDS,0
SS-THAI-BEV,0
SS-TOTAL-ENERGIES,0
SS-UNICREDIT-SPA,0
SS-VW,0
SS-WHARF-HLDS,0
SS-WUXI-BIOLOGICS,0
SS-XIAOMI,0
SS-YES-BANK,0
SS-ZUR-INSR,0
STEEL,3.3
STERLING3,0.0025
STE_yfinance,0
STLD_yfinance,0
STT_yfinance,0
STX_yfinance,0
STZ_yfinance,0
SUGAR11,0.005
SUGAR16,0.57
SUGAR_WHITE,0.2
SWISSLEAD,17
SWKS_yfinance,0
SWK_yfinance,0
SW_yfinance,0
SYF_yfinance,0
SYK_yfinance,0
SYY_yfinance,0
TAP_yfinance,0
TDG_yfinance,0
TDY_yfinance,0
TECDAX,0
TECH60_small,0
TECH_yfinance,0
TEL_yfinance,0
TER_yfinance,0
TFC_yfinance,0
TGT_yfinance,0
THB,0.08
TIN_LME,100
TJX_yfinance,0
TKO_yfinance,0
TMO_yfinance,0
TMUS_yfinance,0
TOPIX,0.24
TOPIX30,0
TOPIX_Large,0
TPL_yfinance,0
TPR_yfinance,0
TRGP_yfinance,0
TRMB_yfinance,0
TROW_yfinance,0
TRV_yfinance,0
TSCO_yfinance,0
TSE60,0
TSLA_yfinance,0
TSN_yfinance,0
TSX,0
TTD_yfinance,0
TTWO_yfinance,0
TT_yfinance,0
TWD,0.00015
TWD-mini,0.00015
TXN_yfinance,0
TXT_yfinance,0
TYL_yfinance,0
T_yfinance,0
UAL_yfinance,0
