Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
FTSECHINAA-IS,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,25
FTSECHINAH,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,14
FTSEINDO,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,18
FTSETAIWAN,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
FTSEVIET,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
FTV_yfinance,H,-999,0,H,0
F_yfinance,H,-999,0,H,0
GAS-LAST,FGHJKMNQUVXZ,-35,-1,FGHJKMNQUVXZ,-5
GAS-PEN,FGHJKMNQUVXZ,-35,-1,FGHJKMNQUVXZ,-5
GASOIL,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,12
GASOILINE,FGHJKMNQUVXZ,-60,-1,FGHJKMNQUVXZ,14
GASOILINE_ICE,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,20
GASOILINE_micro,FGHJKMNQUVXZ,-30,1,FGHJKMNQUVXZ,14
GAS_NL,HMUZ,-60,-1,HMUZ,-4
GAS_UK,HMUZ,-60,-1,HMUZ,-4
GAS_US,FGHJKMNQUVXZ,-35,-1,FGHJKMNQUVXZ,-4
GAS_US_mini,FGHJKMNQUVXZ,-35,-1,FGHJKMNQUVXZ,-4
GBP,HMUZ,-5,1,HMUZ,17
GBP-ICE,HMUZ,-5,1,HMUZ,15
GBPCHF,HMUZ,-5,1,HMUZ,17
GBPCHF-ICE,HMUZ,-5,1,HMUZ,18
GBPEUR,HMUZ,-5,1,HMUZ,15
GBPEUR-ICE,HMUZ,-5,1,HMUZ,15
GBPINR,FGHJKMNQUVXZ,-20,1,FGHJKMNQUVXZ,20
GBPJPY,HMUZ,-5,1,HMUZ,15
GBPJPY-ICE,HMUZ,-5,1,HMUZ,16
GBP_micro,HMUZ,-5,1,HMUZ,17
GDDY_yfinance,H,-999,0,H,0
GD_yfinance,H,-999,0,H,0
GEHC_yfinance,H,-999,0,H,0
GEN_yfinance,H,-999,0,H,0
GEV_yfinance,H,-999,0,H,0
GE_yfinance,H,-999,0,H,0
GICS,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
GICS-EXCESS,FGHJKMUXZ,-5,1,FGHJKMUXZ,18
GILD_yfinance,H,-999,0,H,0
GILT,HMUZ,-5,1,HMUZ,28
GILT2,HMUZ,-5,1,HMUZ,26
GILT5,HMUZ,-5,1,HMUZ,23
GIS_yfinance,H,-999,0,H,0
GLW_yfinance,H,-999,0,H,0
GL_yfinance,H,-999,0,H,0
GM_yfinance,H,-999,0,H,0
GNRC_yfinance,H,-999,0,H,0
GOLD,GJMQVZ,-30,1,GJMQVZ,26
GOLD-CHINA,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,29
GOLD-CHINA-USD,FGHJMQVZ,-5,1,FGHJMQVZ,26
GOLD-CN-HK,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,14
GOLD-HK,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,17
GOLD-JPN,GJMQVZ,-5,1,GJMQVZ,22
GOLD-JPN_mini,GJMQVZ,-5,1,GJMQVZ,20
GOLD-mini,GJMQVZ,-30,1,GJMQVZ,26
